Website,Description,ScrapedText,Keywords,UserIntentions
https://p2c.coralgables.com/,Public Police Records,,,
https://cgitwebapps.coralgables.com/CGDashboards/DevServiceReports.aspx,Building Permits,,,
https://coralgablesfl.mycusthelp.com/WEBAPP/_rs/(S(izpf2bytmaeauansevvquewz))/supporthome.aspx?sSessionID=741141445TRPCSJFQRCDJDWSFFYPQPLCNMRTIYDP&amp;lp=2,GovQA Customer Connect,,,
https://p2c.coralgables.com/,Police to Citizen,,,
https://publicinput.com/hub/53,Public Input,,,
https://arcg.is/COnHL,Waze Connected Citizen Coral Gables portal,,,
https://www.coralgables.com/survey,Citizen Engagement Survey,,,
https://visitor.r20.constantcontact.com/manage/optin?v=0019-F1k886HmSdRYtKhrkj4ddPq3dn9ScXjCVJAJcMDCMoYvsoHMGfjiUjkrIIjkyujCdeNcLOgbLwqH9CzaHVSp90nuwXWLh-7RxklG2cUedNX9bpETc8lAfGCWePCIL5WLBUrqmQ49-qycoR3mhwtoH79yAo7KfcDz5LLVj4fqx-dbUxnNbcC1QPgJw6okuf,eNews,,,
https://www.coralgables.com/departments/PublicWorks/www.coralgables.com/sustainablepublicinfrastructure,Sustainability,,,
https://www.coralgables.com/departments/InformationTechnology,Technology,,,
https://maps.fiu.edu/cgm/coralGablesTour2D.html,Coral Gables Virtual Tour,,,
https://maps.fiu.edu/cgm/cgmCollections.htm,Coral Gables Digital Collection,,,
https://coralgables.fiu.edu/talking_book/index.htm,Coral Gables Talking Book,,,
https://maps.fiu.edu/gis/,FIU GIS Center,,,
https://www.coralgables.com/departments/InformationTechnology/cityapp,Get the City App,,,
https://www.coralgables.com/traffix,Traffix link to Apple and Google stores,,,
https://www.saferwatchapp.com/coralgables/,Saferwatch,,,
https://www.coralgables.com/departments/InformationTechnology/cityapp,In-telligent link to Apple and Google stores,,,
https://www.coralgables.com/departments/InformationTechnology/cityapp,ParkMe link to Apple and Google store,,,
https://www.coralgables.com/departments/InformationTechnology/cityapp,Pay by Phone link to Apple and Google store,,,
https://apps.apple.com/us/app/orchidtracker/id1348563301,Orchid Tracker,,,
https://www.coralgables.com/departments/InformationTechnology/cityapp,EtaSpot Trolley App link to Apple and Google store,,,
https://www.coralgables.com/departments/InformationTechnology/cityapp,Freebee link to Apple and Google store,,,
https://play.google.com/store/apps/details?id=com.GeoARGames.MagicalPark2&amp;hl=en_US,Magical Park app,,,
https://en.actionbound.com/download/,Actionbound app,,,
https://edenweb.coralgables.com/Default.asp?Build=LI.LicensingHome&amp;ClearErrors=Y,Invoice: Business Licenses,,,
https://edenweb.coralgables.com/Default.asp?Build=LI.LicensingHome&amp;ClearErrors=Y,Invoice: Certificate of Use,,,
https://edenweb.coralgables.com/Default.asp?Build=AR.CustomerHome&amp;ClearErrors=Y,Pay an Invoice,,,
https://edenweb.coralgables.com/Default.asp?Build=PM.PermitsHome,Permits,,,
https://edenweb.coralgables.com/Default.asp?Build=AR.CustomerHome&amp;ClearErrors=Y,Property Leases,,,
https://edenweb.coralgables.com/Default.asp?Build=AR.CustomerHome&amp;ClearErrors=Y,Stormwater,,,
https://edenweb.coralgables.com/Default.asp?Build=AR.CustomerHome&amp;ClearErrors=Y,Special Assessment,,,
https://web1.vermontsystems.com/wbwsc/flcoralgableswt.wsc/splash.html,Parks and Recreation,,,
https://www.governmentjobs.com/careers/coralgablesfl,Careers in Coral Gables,,,
https://www.publicpurchase.com/gems/register/vendor/register,Vendors and Bids,,,
https://cityofcoralgables.t2hosted.com/cmn/displayAnnouncement.aspx,Parking Permit Renewal,,,
https://lobbyist.coralgables.com/SignIn.aspx?ReturnUrl=%2F,Lobbyist Registration Portal,,,
https://www.coralgables.com/cityemployees,City Employee Portal,,,
https://www.coralgables.com/financial-transparency,Financial Transparency,,,
https://cggis.maps.arcgis.com/apps/View/index.html?appid=c8454559d85a4a0ab558df239818d6d9,City Trees,,,
https://www.coralgables.com/departments/economic/attractions-business-directory-search,Open Business Data,,,
https://cg-hubdev-cggis.opendata.arcgis.com/search?groupIds=e48f4e0dbf9042ca84efc1cfa064cb58,Agriculture,,,
https://cg-hubdev-cggis.opendata.arcgis.com/search?groupIds=ee68a1346d554da8955d24a1d4101759,Boundaries,,,
https://cg-hubdev-cggis.opendata.arcgis.com/search?groupIds=5b681aa3a4234254a9eb06a96256480f,Business,,,
https://cg-hubdev-cggis.opendata.arcgis.com/search?groupIds=427e43a1ddf042a590028d0709bd65c0,Community Safety,,,
https://cg-hubdev-cggis.opendata.arcgis.com/search?groupIds=9c8e6d3077fa4c6aa7dc923fac9d1b55,Health,,,
https://cg-hubdev-cggis.opendata.arcgis.com/search?groupIds=5d27dc31f3504dcba1ff5b8c1a9e86af,Housing,,,
https://cg-hubdev-cggis.opendata.arcgis.com/search?groupIds=a63a4a701cdc4208a25e337a46b68937,Transportation,,,
https://data.eco-counter.com/ParcPublic/?id=6023,Giralda Avenue Promenade Smart City IoT Sensors,,,
https://www.hydrovu.com/#/?token=BVVjA4D8ugmchwxyD%2B7xfu1%2B%2Byg9QTIs11rwLajAwZ9%2F5xkT0hgpgZEYt5rZvtDSP2E0iYxkue3E8pKE0jKzGeXR93A17jPx1KU817UQLCebLm%2F1ZfJRxxUPIkHtAeT%2F0jZ51BMQgDdN2l%2Boeuntxg%3D%3D,Waterway Gauge IoT Sensors: Blue Road and Cocoplum,,,
https://www.thingful.net/?lat=25.65305513927771&amp;lng=-80.28293609619139&amp;z=13,Discover Open IoT,,,
https://www.arcgis.com/apps/opsdashboard/index.html#/03108cec7cbf4b3ba5d4bc6377203bbd,Suite of Zoning and Code Enforcement web applications and maps in a convenient dashboard.,,,
https://cg-hubdev-cggis.opendata.arcgis.com/app/cfa7886fe2564bd4a4353b342555b0de,Coral Gables FreeBee Web App,,,
https://cg-hubdev-cggis.opendata.arcgis.com/app/af75b346e8d4485bb50c0139e4f63d59,Sustainable Living Web App for the City of Coral Gables,,,
https://cg-hubdev-cggis.opendata.arcgis.com/app/55d8a04248764a2cae53a2db7f44d549,Locations of eVehicle charging stations in and around Coral Gables,,,
https://cg-hubdev-cggis.opendata.arcgis.com/app/9e64a7f41c044ec6b31a8dd069193da2,Properties and boundary for Coral Gables Business Improvement District.,,,
https://cg-hubdev-cggis.opendata.arcgis.com/app/5bb3461affd544c2bb4d01c13d4c26b5,Locations for City of Coral Gables Pet Waste Stations.,,,
https://cg-hubdev-cggis.opendata.arcgis.com/app/9aad7e27b48d4540960b5d7daf9708b7,This scene contains several 3D feature class of buildings and monuments throughout the City of Coral Gables in Florida,,,
https://cggisw.coralgables.com/cgdevelopment/,Development Services,,,
https://cggis.maps.arcgis.com/apps/webappviewer/index.html?id=96e05cd1954a4d6b9f8fec15d9690e0a,Hurricane Irma Debris,,,
https://cggisw.coralgables.com/cgvoting/,Election Precincts,,,
https://cggisw.coralgables.com/cglights/,City Street Lights,,,
https://cggisw.coralgables.com/cgbikepedestrian/,Bicycle Routes,,,
https://cggisw.coralgables.com/cghistoric/,Historical Resources,,,
https://cggisw.coralgables.com/cgoverlay/,City Services,,,
https://cggisw.coralgables.com/cgdemographics/,Election Demographics,,,
https://cggisw.coralgables.com/cgtrolley/,Trolley routes and stops,,,
https://cggis.maps.arcgis.com/apps/opsdashboard/index.html#/28cb24c78b3d499f89afe6e889ce88cf,Explore Coral Gables,,,
https://cggisw.coralgables.com/cglocation/,Coral Gables Location,,,
https://cggis.maps.arcgis.com/apps/PublicInformation/index.html?appid=1a57adc503bc42158159e091b7dea8df,Waze map,,,
https://storymaps.arcgis.com/stories/610f079a458042448ccce9e7356d4570,Property Story Map,,,
https://broadbandusa.maps.arcgis.com/apps/webappviewer/index.html?id=39dc6d41b49d420e94aef77c441f8af2,Broadband Availability,,,
https://arcg.is/COnHL,Situational Awareness Dashboard,,,
https://qp4p-cggis.hub.arcgis.com/,Community Vision: Quality Places for People,,,
https://cocg-multimodal-transportation-cggis.hub.arcgis.com/,Multimodal Transportation - Citywide Traffic Calming,,,
https://flagler-section-community-vision-workshop-1-cggis.hub.arcgis.com/,Flagler Section,,,
https://covid-19-testing-application-cggis.hub.arcgis.com/,City Covid-19 Response application,,,
https://coral-gables-planning-cggis.hub.arcgis.com/,Master Planning in Coral Gables,,,
https://smart-city-competition-cggis.hub.arcgis.com/,Smart City Comp,,,
https://smartcities.miami.edu/competition/,Design your Coral Gables: Smart City Solutions Contest 2019,,,
https://smart-city-competition-cggis.hub.arcgis.com/,Giralda Plaza in a Smart City,,,
https://cggisw.coralgables.com/cgemerge/,Attractions Pictures,,,
